Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.565223,97.9107,77,0.0187965,1.03,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0136852,1,1.03,Wed Jan 18 12:42:46 2023,0,
0.575282,97.2194,78,0.0156942,0.86,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,0.86,Wed Jan 18 12:42:46 2023,0,
0.585343,96.4309,80,0.0156942,0.86,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,0.86,Wed Jan 18 12:42:46 2023,0,
0.595407,95.5456,81,0.0156942,0.86,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0127077,1,0.86,Wed Jan 18 12:42:46 2023,0,
0.605469,94.565,83,0.00875953,0.48,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0117302,1,0.48,Wed Jan 18 12:42:46 2023,0,
0.615531,93.4901,86,0.00875953,0.48,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0107527,1,0.48,Wed Jan 18 12:42:46 2023,0,
0.625592,92.3216,89,0.00875953,0.48,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00879765,1,0.48,Wed Jan 18 12:42:46 2023,0,
0.635654,91.0613,92,0.00875953,0.48,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0.48,Wed Jan 18 12:42:46 2023,0,
0.645714,89.7097,94,0.00875953,0.48,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00488759,1,0.48,Wed Jan 18 12:42:46 2023,0,
0.655774,88.2689,94,0.000729961,0.04,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00488759,1,0.04,Wed Jan 18 12:42:46 2023,0,
0.665838,86.7392,94,0.000729961,0.04,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0058651,1,0.04,Wed Jan 18 12:42:46 2023,0,
0.676011,85.1055,94,0.000729961,0.04,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0.04,Wed Jan 18 12:42:46 2023,0,
0.686084,83.4014,94,0.000729961,0.04,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0.04,Wed Jan 18 12:42:46 2023,0,
0.696159,81.6138,94,0.000729961,0.04,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0.04,Wed Jan 18 12:42:46 2023,0,
0.706238,79.7426,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00782014,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.716302,77.7951,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00782014,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.726363,75.7703,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00782014,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.736425,73.6704,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00782014,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.746489,71.4962,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00782014,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.756554,69.2499,94,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00782014,1,0,Wed Jan 18 12:42:46 2023,0,
0.766614,66.935,94,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00782014,1,0,Wed Jan 18 12:42:46 2023,0,
0.776674,64.5544,94,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0,Wed Jan 18 12:42:46 2023,0,
0.786739,62.1081,94,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0,Wed Jan 18 12:42:46 2023,0,
0.796808,59.5978,94,0,0,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00684262,1,0,Wed Jan 18 12:42:46 2023,0,
0.806871,57.0295,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.0058651,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.816935,54.405,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00391007,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.826999,51.7248,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00293255,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.837062,48.9941,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00293255,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.847123,46.214,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0.00195503,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.857183,43.3891,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,0,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.867244,40.5203,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.000977517,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.877306,37.6105,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00195503,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.887368,34.6635,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00293255,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.897432,31.6809,94,0.00018249,0.01,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0058651,1,0.01,Wed Jan 18 12:42:46 2023,0,
0.907494,28.6671,94,0.00145992,0.08,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00684262,1,0.08,Wed Jan 18 12:42:46 2023,0,
0.917557,25.6247,94,0.00145992,0.08,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.00879765,1,0.08,Wed Jan 18 12:42:46 2023,0,
0.927621,22.556,94,0.00145992,0.08,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0107527,1,0.08,Wed Jan 18 12:42:46 2023,0,
0.937684,19.4661,94,0.00145992,0.08,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0127077,1,0.08,Wed Jan 18 12:42:46 2023,0,
0.947751,16.3541,94,0.00145992,0.08,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,0.08,Wed Jan 18 12:42:46 2023,0,
0.957812,13.2283,92,0.00492724,0.27,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,0.27,Wed Jan 18 12:42:46 2023,0,
0.967872,10.0895,90,0.00492724,0.27,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0146628,1,0.27,Wed Jan 18 12:42:46 2023,0,
0.977931,6.94101,87,0.00492724,0.27,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0156403,1,0.27,Wed Jan 18 12:42:46 2023,0,
0.987992,3.78514,83,0.00492724,0.27,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0127077,1,0.27,Wed Jan 18 12:42:46 2023,0,
0.998053,0.625168,82,0.00492724,0.27,0,0,0,0,4.3838,-3.6307e-44,1,0,0,-3.07629e-07,-0.0136852,1,0.27,Wed Jan 18 12:42:46 2023,0,
