Time,Target Position,Measured Position,Torque,Current,Rotation raw,Pinion Target,Pinion Position,Pinion Current,Torque demand,Previous Pos,Moved,Motion Direction,i,j,Percent Output,PosControl, Stator Current,System Clock,
0.735881,73.7852,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0244379,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.74594,71.6158,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0234604,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.756002,69.3742,88,0.118984,6.52,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0224829,1,6.52,Wed Nov 16 12:49:17 2022,0,
0.766064,67.0639,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0175953,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.776129,64.6848,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0166178,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.786192,62.2415,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0107527,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.796253,59.737,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.0107527,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.80631,57.1736,88,0.136138,7.46,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00488759,1,7.46,Wed Nov 16 12:49:17 2022,0,
0.816371,54.5528,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.000977517,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.826431,51.877,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0058651,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.836491,49.1495,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0117302,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.846549,46.3734,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0166178,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.856608,43.5511,88,0.0456226,2.5,-118,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0224829,1,2.5,Wed Nov 16 12:49:17 2022,0,
0.866669,40.6853,88,0.0405128,2.22,-117,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0322581,1,2.22,Wed Nov 16 12:49:17 2022,0,
0.876731,37.7774,88,0.0405128,2.22,-113,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0391007,1,2.22,Wed Nov 16 12:49:17 2022,0,
0.88679,34.8327,85,0.0405128,2.22,-109,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0342131,1,2.22,Wed Nov 16 12:49:17 2022,0,
0.89685,31.8536,83,0.0405128,2.22,-107,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.030303,1,2.22,Wed Nov 16 12:49:17 2022,0,
0.90691,28.8421,81,0.0405128,2.22,-105,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00391007,1,2.22,Wed Nov 16 12:49:17 2022,0,
0.916971,25.8021,80,0.133765,7.33,-104,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0312805,1,7.33,Wed Nov 16 12:49:17 2022,0,
0.927031,22.736,78,0.133765,7.33,-102,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0371457,1,7.33,Wed Nov 16 12:49:17 2022,0,
0.93709,19.6478,76,0.133765,7.33,-99,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.00293255,1,7.33,Wed Nov 16 12:49:17 2022,0,
0.947148,16.5401,74,0.133765,7.33,-95,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0332356,1,7.33,Wed Nov 16 12:49:17 2022,0,
0.957206,13.4161,71,0.133765,7.33,-92,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0342131,1,7.33,Wed Nov 16 12:49:17 2022,0,
0.967268,10.2785,69,0.146905,8.05,-89,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0391007,1,8.05,Wed Nov 16 12:49:17 2022,0,
0.977331,7.12884,67,0.146905,8.05,-85,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0400782,1,8.05,Wed Nov 16 12:49:17 2022,0,
0.987393,3.9722,64,0.146905,8.05,-81,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.000977517,1,8.05,Wed Nov 16 12:49:17 2022,0,
0.997452,0.813304,61,0.146905,8.05,-77,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.000977517,1,8.05,Wed Nov 16 12:49:17 2022,0,
1.00751,-2.34658,58,0.146905,8.05,-74,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00293255,1,8.05,Wed Nov 16 12:49:17 2022,0,
1.01757,-5.5043,55,0.112779,6.18,-70,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00195503,1,6.18,Wed Nov 16 12:49:17 2022,0,
1.02763,-8.65708,52,0.112779,6.18,-66,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.000977517,1,6.18,Wed Nov 16 12:49:17 2022,0,
1.03769,-11.8005,49,0.112779,6.18,-62,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.00391007,1,6.18,Wed Nov 16 12:49:17 2022,0,
1.04775,-14.9324,47,0.112779,6.18,-59,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0342131,1,6.18,Wed Nov 16 12:49:17 2022,0,
1.05781,-18.0487,44,0.112779,6.18,-55,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0400782,1,6.18,Wed Nov 16 12:49:17 2022,0,
1.06787,-21.1471,40,0.106027,5.81,-50,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0322581,1,5.81,Wed Nov 16 12:49:17 2022,0,
1.07793,-24.2263,37,0.106027,5.81,-46,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0361681,1,5.81,Wed Nov 16 12:49:17 2022,0,
1.08799,-27.28,34,0.106027,5.81,-41,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.00195503,1,5.81,Wed Nov 16 12:49:17 2022,0,
1.09806,-30.3081,29,0.106027,5.81,-36,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0312805,1,5.81,Wed Nov 16 12:49:17 2022,0,
1.10811,-33.3041,27,0.106027,5.81,-32,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.00391007,1,5.81,Wed Nov 16 12:49:17 2022,0,
1.11818,-36.2671,24,0.116794,6.4,-28,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.00488759,1,6.4,Wed Nov 16 12:49:17 2022,0,
1.12824,-39.194,20,0.116794,6.4,-24,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0351906,1,6.4,Wed Nov 16 12:49:17 2022,0,
1.13829,-42.081,17,0.116794,6.4,-19,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0058651,1,6.4,Wed Nov 16 12:49:17 2022,0,
1.14835,-44.9262,14,0.116794,6.4,-15,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0058651,1,6.4,Wed Nov 16 12:49:18 2022,0,
1.15841,-47.7261,10,0.116794,6.4,-11,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0312805,1,6.4,Wed Nov 16 12:49:18 2022,0,
1.16847,-50.4787,7,0.101465,5.56,-8,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,5.56,Wed Nov 16 12:49:18 2022,0,
1.17853,-53.1823,5,0.101465,5.56,-4,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0381232,1,5.56,Wed Nov 16 12:49:18 2022,0,
1.18859,-55.8321,2,0.101465,5.56,0,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0342131,1,5.56,Wed Nov 16 12:49:18 2022,0,
1.19865,-58.4253,-1,0.101465,5.56,4,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0107527,1,5.56,Wed Nov 16 12:49:18 2022,0,
1.20871,-60.9604,-4,0.101465,5.56,7,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0342131,1,5.56,Wed Nov 16 12:49:18 2022,0,
1.21877,-63.4343,-6,0.113874,6.24,11,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0400782,1,6.24,Wed Nov 16 12:49:18 2022,0,
1.22883,-65.8457,-9,0.113874,6.24,14,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0400782,1,6.24,Wed Nov 16 12:49:18 2022,0,
1.23889,-68.1904,-12,0.113874,6.24,18,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0391007,1,6.24,Wed Nov 16 12:49:18 2022,0,
1.24895,-70.4674,-14,0.113874,6.24,23,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0381232,1,6.24,Wed Nov 16 12:49:18 2022,0,
1.259,-72.6736,-18,0.113874,6.24,27,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0,1,6.24,Wed Nov 16 12:49:18 2022,0,
1.26907,-74.808,-21,0.139788,7.66,31,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0391007,1,7.66,Wed Nov 16 12:49:18 2022,0,
1.27913,-76.8676,-24,0.139788,7.66,36,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0381232,1,7.66,Wed Nov 16 12:49:18 2022,0,
1.28919,-78.8508,-27,0.139788,7.66,40,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.000977517,1,7.66,Wed Nov 16 12:49:18 2022,0,
1.29932,-80.7681,-31,0.139788,7.66,44,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,0.000977517,1,7.66,Wed Nov 16 12:49:18 2022,0,
1.30939,-82.5921,-34,0.139788,7.66,48,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0332356,1,7.66,Wed Nov 16 12:49:18 2022,0,
1.31945,-84.3326,-37,0.0917926,5.03,52,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0322581,1,5.03,Wed Nov 16 12:49:18 2022,0,
1.32951,-85.9887,-40,0.0917926,5.03,55,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.028348,1,5.03,Wed Nov 16 12:49:18 2022,0,
1.33957,-87.559,-42,0.0917926,5.03,58,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0273705,1,5.03,Wed Nov 16 12:49:18 2022,0,
1.34963,-89.0417,-45,0.0917926,5.03,61,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0332356,1,5.03,Wed Nov 16 12:49:18 2022,0,
1.35969,-90.4353,-47,0.0917926,5.03,66,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.00488759,1,5.03,Wed Nov 16 12:49:18 2022,0,
1.36975,-91.7388,-50,0.0906977,4.97,70,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0273705,1,4.97,Wed Nov 16 12:49:18 2022,0,
1.37981,-92.9512,-53,0.0906977,4.97,72,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0312805,1,4.97,Wed Nov 16 12:49:18 2022,0,
1.38987,-94.0701,-55,0.0906977,4.97,75,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0312805,1,4.97,Wed Nov 16 12:49:18 2022,0,
1.39993,-95.095,-57,0.0906977,4.97,78,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.0312805,1,4.97,Wed Nov 16 12:49:18 2022,0,
1.40999,-96.0251,-60,0.0906977,4.97,82,0,0,0,4.3838,-4.37514e-44,1,0,0,-2.70687e-06,-0.000977517,1,4.97,Wed Nov 16 12:49:18 2022,0,
